micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,pos_counts,neg_counts,ema_calls
50,6,0.0096,0.7015185916423797,4.354193212985993,1.5723572432994843,51.3,50.7,102.0,0,196,200,"{0: 95, 1: 101}",0.051021136343479156,"(104, 96, 104, 104)","(96, 104, 96, 96)",6
100,12,0.0192,0.6964905500411988,5.691218852996826,1.8347343444824218,151.17,150.83,302.0,0,396,400,"{0: 198, 1: 198}",0.0645015612244606,"(201, 201, 199, 201)","(199, 199, 201, 199)",12
150,18,0.0288,0.6843276178836822,6.211549777984619,1.9266376042366027,251.48,250.52,502.0,0,596,600,"{0: 291, 1: 305}",0.11256878077983856,"(293, 293, 307, 307)","(307, 307, 293, 293)",18
200,24,0.0384,0.685828914642334,6.550170879364014,1.9958631086349488,354.2,347.8,702.0,0,796,800,"{0: 374, 1: 422}",0.16761414706707,"(425, 425, 375, 425)","(375, 375, 425, 375)",24
250,31,0.0496,0.7247487646341324,6.802645807266235,2.085277967453003,449.02,452.98,902.0,0,996,1000,"{0: 486, 1: 510}",0.24162492156028748,"(513, 513, 513, 487)","(487, 487, 487, 513)",31
300,37,0.0592,0.7059137034416199,7.003586645126343,2.106631064414978,550.51,551.49,1102.0,0,1196,1200,"{0: 592, 1: 604}",0.2659274935722351,"(605, 595, 595, 595)","(595, 605, 605, 605)",37
350,43,0.0688,0.690263489484787,7.170049324035644,2.1242733669281004,651.43,650.57,1302.0,0,1396,1400,"{0: 690, 1: 706}",0.2568695545196533,"(708, 692, 708, 692)","(692, 708, 692, 708)",43
400,49,0.0784,0.706404402256012,7.312521429061889,2.1689086961746216,754.92,747.08,1502.0,0,1596,1600,"{0: 768, 1: 828}",0.34428346157073975,"(772, 772, 772, 772)","(828, 828, 828, 828)",49
450,56,0.0896,0.698205600976944,7.4380331802368165,2.1858122634887693,852.39,849.61,1702.0,0,1796,1800,"{0: 866, 1: 930}",0.4141451418399811,"(868, 932, 868, 932)","(932, 868, 932, 868)",56
500,62,0.0992,0.7070679485797882,7.548849458694458,2.2168378686904906,950.08,951.92,1902.0,0,1996,2000,"{0: 972, 1: 1024}",0.4569074809551239,"(1028, 1028, 1028, 1028)","(972, 972, 972, 972)",62
550,68,0.1088,0.6871710848808289,7.646483755111694,2.216467876434326,1049.57,1052.43,2102.0,0,2196,2200,"{0: 1076, 1: 1120}",0.5952017307281494,"(1079, 1079, 1079, 1121)","(1121, 1121, 1121, 1079)",68
