micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,view_cos,contrast_progress,pos_counts,neg_counts,ema_calls
50,6,0.0096,0.7015125131607056,4.354193203449249,1.572351154088974,51.3,50.7,102.0,0,196,200,"{0: 95, 1: 101}",0.05094068497419357,0.9986965656280518,0.0015422456663911506,"(104, 96, 104, 104)","(96, 104, 96, 96)",6
100,12,0.0192,0.6964898765087127,5.69121898651123,1.8347336983680724,151.17,150.83,302.0,0,396,400,"{0: 198, 1: 198}",0.06320259720087051,0.9980005621910095,-8.863397497226712e-05,"(201, 201, 199, 201)","(199, 199, 201, 199)",12
150,18,0.0288,0.6843330943584442,6.211549835205078,1.926643075942993,251.48,250.52,502.0,0,596,600,"{0: 291, 1: 305}",0.1080477386713028,0.994149923324585,0.0019957853807400106,"(293, 293, 307, 307)","(307, 307, 293, 293)",18
200,24,0.0384,0.6858404207229615,6.5501571559906,1.995871889591217,354.2,347.8,702.0,0,796,800,"{0: 374, 1: 422}",0.1590321809053421,0.9872766733169556,0.0018252273926850052,"(425, 425, 375, 425)","(375, 375, 425, 375)",24
250,31,0.0496,0.7247413486242295,6.802642612457276,2.0852698850631715,449.02,452.98,902.0,0,996,1000,"{0: 486, 1: 510}",0.22746172547340393,0.9739130735397339,0.0038244341319286497,"(513, 513, 513, 487)","(487, 487, 487, 513)",31
300,37,0.0592,0.7059142982959747,7.003565893173218,2.106627495288849,550.51,551.49,1102.0,0,1196,1200,"{0: 592, 1: 604}",0.2439109832048416,0.9701909422874451,-0.00551906102711721,"(605, 595, 595, 595)","(595, 605, 605, 605)",37
350,43,0.0688,0.6902725696563721,7.170040979385376,2.1242807865142823,651.43,650.57,1302.0,0,1396,1400,"{0: 690, 1: 706}",0.2271721363067627,0.974162220954895,0.0005101579852962998,"(708, 692, 708, 692)","(692, 708, 692, 708)",43
400,49,0.0784,0.7064220869541168,7.312497091293335,2.1689215230941774,754.92,747.08,1502.0,0,1596,1600,"{0: 768, 1: 828}",0.3077889680862427,0.9522368907928467,-0.002651705329397592,"(772, 772, 772, 772)","(828, 828, 828, 828)",49
450,56,0.0896,0.6982087588310242,7.437960634231567,2.1858009099960327,852.39,849.61,1702.0,0,1796,1800,"{0: 866, 1: 930}",0.35742074251174927,0.9360735416412354,-0.001905087987008181,"(868, 932, 868, 932)","(932, 868, 932, 868)",56
500,62,0.0992,0.7070730948448181,7.548656978607178,2.2168045234680176,950.08,951.92,1902.0,0,1996,2000,"{0: 972, 1: 1024}",0.36709901690483093,0.9324636459350586,0.0038341915247837874,"(1028, 1028, 1028, 1028)","(972, 972, 972, 972)",62
550,68,0.1088,0.6871799349784851,7.645976457595825,2.2163752460479738,1049.57,1052.43,2102.0,0,2196,2200,"{0: 1076, 1: 1120}",0.5561275482177734,0.8430500626564026,0.013552216981623502,"(1079, 1079, 1079, 1121)","(1121, 1121, 1121, 1079)",68
600,74,0.1184,0.6938828468322754,7.73394510269165,2.2406718873977662,1149.65,1152.35,2302.0,0,2396,2400,"{0: 1186, 1: 1210}",1.1358578205108643,0.35357964038848877,0.018856114396038348,"(1189, 1189, 1189, 1211)","(1211, 1211, 1211, 1189)",74
650,81,0.1296,0.6876429545879365,7.809784183502197,2.249599828720093,1251.07,1250.93,2502.0,0,2596,2600,"{0: 1289, 1: 1307}",1.4518240690231323,-0.05466052517294884,0.032910128839873876,"(1309, 1291, 1291, 1309)","(1291, 1309, 1309, 1291)",81
700,87,0.1392,0.6709178423881531,7.882067422866822,2.24733136177063,1350.9,1351.1,2702.0,0,2796,2800,"{0: 1394, 1: 1402}",1.2168294191360474,0.2559009790420532,0.020209121651064896,"(1398, 1398, 1398, 1398)","(1402, 1402, 1402, 1402)",87
750,93,0.1488,0.5889150029420853,7.939661474227905,2.1768473243713378,1451.63,1450.37,2902.0,0,2996,3000,"{0: 1489, 1: 1507}",1.400801658630371,0.014736155048012733,0.032496763661864055,"(1491, 1491, 1509, 1509)","(1509, 1509, 1491, 1491)",93
800,99,0.1584,0.4114943537116051,8.004432621002197,2.0123809027671813,1551.54,1550.46,3102.0,0,3196,3200,"{0: 1586, 1: 1610}",1.2851080894470215,0.17190825939178467,0.06963686366199805,"(1612, 1612, 1588, 1588)","(1588, 1588, 1612, 1612)",99
850,106,0.1696,0.4822672051936388,8.068835124969482,2.0960342502593994,1650.94,1651.06,3302.0,0,3396,3400,"{0: 1689, 1: 1707}",1.4092919826507568,0.005489282310009003,0.029265763045234722,"(1692, 1692, 1692, 1708)","(1708, 1708, 1708, 1692)",106
900,112,0.1792,0.4709361780434847,8.129086380004884,2.096753466129303,1751.59,1750.41,3502.0,0,3596,3600,"{0: 1785, 1: 1811}",1.383110761642456,0.03861791640520096,0.017721963562227876,"(1788, 1788, 1788, 1812)","(1812, 1812, 1812, 1788)",112
950,118,0.1888,0.3233718065172434,8.173915042877198,1.9581548428535462,1852.14,1849.86,3702.0,0,3796,3800,"{0: 1882, 1: 1914}",1.0846519470214844,0.41039136052131653,0.07121426235161593,"(1918, 1918, 1918, 1918)","(1882, 1882, 1882, 1882)",118
1000,124,0.1984,0.2589081651601009,8.21925453186035,1.9027590942382813,1950.15,1951.85,3902.0,0,3996,4000,"{0: 1987, 1: 2009}",1.2479150295257568,0.18642891943454742,0.022859979654446246,"(1990, 1990, 2010, 1990)","(2010, 2010, 1990, 2010)",124
1050,131,0.2096,0.23104737104848028,8.273418636322022,1.8857311058044433,2038.0,2038.0,4076.0,0,4096,104,"{0: 2038, 1: 2058}",1.1686683893203735,0.28495103120803833,0.003684162680588705,"(2061, 2061, 2039, 2061)","(2039, 2039, 2061, 2039)",131
1100,137,0.2192,0.21158148359507323,8.280658683776856,1.8677132439613342,2050.38,2049.62,4100.0,0,4096,304,"{0: 2059, 1: 2037}",1.550121784210205,-0.20526382327079773,0.028577935251974055,"(2062, 2062, 2038, 2062)","(2038, 2038, 2062, 2038)",137
1150,143,0.2288,0.12222936492413282,8.273112106323243,1.7768518090248109,2050.3,2049.7,4100.0,0,4096,504,"{0: 2060, 1: 2036}",0.9143837690353394,0.5364982485771179,0.03861282090078657,"(2061, 2039, 2039, 2039)","(2039, 2061, 2061, 2061)",143
1200,149,0.2384,0.21590175450779497,8.27702470779419,1.8713067269325256,2049.49,2050.51,4100.0,0,4096,704,"{0: 2051, 1: 2045}",0.7153089046478271,0.7398715019226074,0.009716806449321509,"(2046, 2054, 2054, 2054)","(2054, 2046, 2046, 2046)",149
1250,156,0.2496,0.27300837367773056,8.269270648956299,1.9268625140190125,2050.97,2049.03,4100.0,0,4096,904,"{0: 2064, 1: 2032}",0.8114780783653259,0.5922871828079224,0.06591297117431268,"(2035, 2035, 2035, 2065)","(2065, 2065, 2065, 2035)",156
1300,162,0.2592,0.21386478140950202,8.265606517791747,1.8669861125946046,2050.26,2049.74,4100.0,0,4096,1104,"{0: 2059, 1: 2037}",1.0155329704284668,0.37951910495758057,0.10910163148448404,"(2039, 2061, 2039, 2061)","(2061, 2039, 2061, 2039)",162
1350,168,0.2688,0.26044312983751294,8.254682388305664,1.9113796377182006,2050.51,2049.49,4100.0,0,4096,1304,"{0: 2051, 1: 2045}",1.4615414142608643,-0.0690946877002716,0.14972899102242657,"(2055, 2055, 2055, 2055)","(2045, 2045, 2045, 2045)",168
1400,174,0.2784,0.14712537806481124,8.23624418258667,1.7943742394447326,2052.2,2047.8,4100.0,0,4096,1504,"{0: 2073, 1: 2023}",1.2664625644683838,0.119691401720047,0.15103168485795543,"(2076, 2024, 2076, 2076)","(2024, 2076, 2024, 2024)",174
1450,181,0.2896,0.16867602175101637,8.226698036193847,1.8140156555175782,2047.77,2052.23,4100.0,0,4096,1704,"{0: 2079, 1: 2017}",1.1140313148498535,0.3288732171058655,0.17437105340554684,"(2018, 2082, 2082, 2082)","(2082, 2018, 2018, 2018)",181
1500,187,0.2992,0.2617493675276637,8.230274906158447,1.9078043651580812,2050.38,2049.62,4100.0,0,4096,1904,"{0: 2083, 1: 2013}",1.0896143913269043,0.37134966254234314,0.19714021673808557,"(2014, 2086, 2086, 2086)","(2086, 2014, 2014, 2014)",187
1550,193,0.3088,0.1667475464195013,8.202728500366211,1.8072932624816895,2049.58,2050.42,4100.0,0,4096,2104,"{0: 2077, 1: 2019}",0.9468655586242676,0.5277554988861084,0.20573644400235755,"(2079, 2021, 2021, 2079)","(2021, 2079, 2079, 2021)",193
1600,199,0.3184,0.133517417665571,8.183992500305175,1.7703159403800965,2047.91,2052.09,4100.0,0,4096,2304,"{0: 2054, 1: 2042}",0.9212617874145508,0.5526392459869385,0.23352617192072303,"(2044, 2056, 2044, 2056)","(2056, 2044, 2056, 2044)",199
1650,206,0.3296,0.2264932817965746,8.194456214904784,1.8653845477104187,2052.11,2047.89,4100.0,0,4096,2504,"{0: 2025, 1: 2071}",0.9980543851852417,0.46671196818351746,0.24573457528231038,"(2027, 2073, 2073, 2027)","(2073, 2027, 2027, 2073)",206
1700,212,0.3392,0.24145823962986468,8.196906967163086,1.8808396506309508,2050.56,2049.44,4100.0,0,4096,2704,"{0: 2024, 1: 2072}",0.863003671169281,0.5901830196380615,0.2664533818427862,"(2075, 2025, 2075, 2075)","(2025, 2075, 2025, 2025)",212
1750,218,0.3488,0.20344552733004093,8.167642917633056,1.836974127292633,2049.11,2050.89,4100.0,0,4096,2904,"{0: 2025, 1: 2071}",0.7999192476272583,0.6739556789398193,0.2822715683844439,"(2027, 2073, 2073, 2027)","(2073, 2027, 2027, 2073)",218
1800,224,0.3584,0.18714457523077727,8.15015905380249,1.8171763968467713,2048.87,2051.13,4100.0,0,4096,3104,"{0: 2033, 1: 2063}",0.6845735907554626,0.7565116882324219,0.032737265564216536,"(2064, 2036, 2036, 2036)","(2036, 2064, 2064, 2064)",224
1850,231,0.3696,0.13190241083502768,8.123890056610108,1.7566804456710816,2049.99,2050.01,4100.0,0,4096,3304,"{0: 2053, 1: 2043}",0.6230332851409912,0.7993800640106201,0.3438068384537683,"(2056, 2044, 2056, 2056)","(2044, 2056, 2044, 2044)",231
1900,237,0.3792,0.21190652646124364,8.116183528900146,1.8351432752609254,2050.52,2049.48,4100.0,0,4096,3504,"{0: 2062, 1: 2034}",0.6278917789459229,0.8022429943084717,0.007073871853479156,"(2037, 2063, 2037, 2037)","(2063, 2037, 2063, 2063)",237
1950,243,0.3888,0.12215223494917155,8.076538619995118,1.7374599885940551,2049.57,2050.43,4100.0,0,4096,3704,"{0: 2054, 1: 2042}",0.6962574124336243,0.750923752784729,0.42791623582847,"(2045, 2045, 2045, 2055)","(2055, 2055, 2055, 2045)",243
2000,249,0.3984,0.12461641579866409,8.047509279251098,1.7341183042526245,2050.21,2049.79,4100.0,0,4096,3904,"{0: 2041, 1: 2055}",0.6033217906951904,0.8179905414581299,0.4587362434993831,"(2058, 2058, 2042, 2058)","(2042, 2042, 2058, 2042)",249
2050,256,0.4096,0.34197323836386206,8.126831769943237,1.9673396134376526,2050.69,2049.31,4100.0,0,4096,8,"{0: 2024, 1: 2072}",0.6483483910560608,0.7885913848876953,0.4464681840826499,"(2074, 2026, 2074, 2026)","(2026, 2074, 2026, 2074)",256
2100,262,0.4192,0.18246909227222205,8.05397705078125,1.7932645344734193,2049.55,2050.45,4100.0,0,4096,208,"{0: 2028, 1: 2068}",0.5379858016967773,0.8550638556480408,0.4312246351781249,"(2031, 2031, 2069, 2031)","(2069, 2069, 2031, 2069)",262
2150,268,0.4288,0.10424331434071064,8.018449926376343,1.707933325767517,2049.13,2050.87,4100.0,0,4096,408,"{0: 2024, 1: 2072}",0.6959033012390137,0.7517558932304382,0.17720017060219936,"(2027, 2073, 2027, 2027)","(2073, 2027, 2073, 2073)",268
2200,274,0.4384,0.1586331893946044,8.024617471694945,1.7635567092895508,2048.95,2051.05,4100.0,0,4096,608,"{0: 2035, 1: 2061}",0.5904532670974731,0.8238143920898438,0.48970730009748725,"(2039, 2039, 2039, 2039)","(2061, 2061, 2061, 2061)",274
2250,281,0.4496,0.22087669007480146,8.025571947097779,1.8259910988807677,2050.45,2049.55,4100.0,0,4096,808,"{0: 2039, 1: 2057}",0.6260119080543518,0.7933413982391357,0.5394350998696682,"(2059, 2041, 2059, 2041)","(2041, 2059, 2041, 2059)",281
2300,287,0.4592,0.09918625606223941,7.9852578067779545,1.6962378406524659,2049.8,2050.2,4100.0,0,4096,1008,"{0: 2040, 1: 2056}",0.5062423944473267,0.8715696930885315,0.5826154730240828,"(2059, 2059, 2041, 2059)","(2041, 2041, 2059, 2041)",287
2350,293,0.4688,0.11597245950251818,7.966475458145141,1.709267578125,2050.18,2049.82,4100.0,0,4096,1208,"{0: 2034, 1: 2062}",0.443833589553833,0.900971531867981,0.5853368770339701,"(2064, 2036, 2036, 2064)","(2036, 2064, 2064, 2036)",293
2400,299,0.4784,0.11773148605599999,7.955041618347168,1.708739836215973,2050.38,2049.62,4100.0,0,4096,1408,"{0: 2034, 1: 2062}",0.46479377150535583,0.8917934894561768,0.6207947952807444,"(2035, 2065, 2065, 2065)","(2065, 2035, 2035, 2035)",299
2450,306,0.4896,0.20306374633684754,8.023114585876465,1.8076866888999938,2052.36,2047.64,4100.0,0,4096,1608,"{0: 2018, 1: 2078}",0.4310504198074341,0.9065117835998535,0.5891012610895752,"(2020, 2020, 2080, 2080)","(2080, 2080, 2020, 2020)",306
2500,312,0.4992,0.1970554842427373,7.989111156463623,1.7948777437210084,2051.04,2048.96,4100.0,0,4096,1808,"{0: 2014, 1: 2082}",0.4843449592590332,0.8649219274520874,0.5062129253376515,"(2017, 2017, 2017, 2083)","(2083, 2083, 2083, 2017)",312
2550,318,0.5088,0.08875325370579958,7.935331354141235,1.6758195352554321,2046.67,2053.33,4100.0,0,4096,2008,"{0: 2037, 1: 2059}",0.46946942806243896,0.8679819107055664,0.6242695777252374,"(2060, 2040, 2040, 2040)","(2040, 2060, 2060, 2060)",318
2600,324,0.5184,0.18301770117133856,7.9613384342193605,1.7752854132652283,2049.59,2050.41,4100.0,0,4096,2208,"{0: 2049, 1: 2047}",0.36333250999450684,0.9335361123085022,-0.05004456195823407,"(2051, 2051, 2049, 2049)","(2049, 2049, 2051, 2051)",324
2650,331,0.5296,0.1682844135700725,7.970409650802612,1.7623663663864135,2054.27,2045.73,4100.0,0,4096,2408,"{0: 2096, 1: 2000}",0.3670923709869385,0.9325485229492188,0.6595115079355642,"(2002, 2002, 2098, 2098)","(2098, 2098, 2002, 2002)",331
2700,337,0.5392,0.11539600937161594,7.931056861877441,1.7016073989868163,2050.44,2049.56,4100.0,0,4096,2608,"{0: 2101, 1: 1995}",0.32710081338882446,0.945310115814209,0.6779330058158776,"(1997, 2103, 1997, 2103)","(2103, 1997, 2103, 1997)",337
2750,343,0.5488,0.14872168367728592,7.9430373001098635,1.7373291635513306,2049.46,2050.54,4100.0,0,4096,2808,"{0: 2094, 1: 2002}",0.28284358978271484,0.9589715003967285,0.6739524114007809,"(2003, 2097, 2097, 2097)","(2097, 2003, 2003, 2003)",343
2800,349,0.5584,0.10075615542940795,7.895772285461426,1.6799106359481812,2046.14,2053.86,4100.0,0,4096,3008,"{0: 2087, 1: 2009}",0.3045503497123718,0.953548789024353,0.005535024821588137,"(2012, 2012, 2012, 2088)","(2088, 2088, 2088, 2012)",349
2850,356,0.5696,0.17520518573001026,7.988350238800049,1.7728752613067627,2052.24,2047.76,4100.0,0,4096,3208,"{0: 2081, 1: 2015}",0.31156018376350403,0.9496901035308838,0.5150232991293933,"(2084, 2016, 2084, 2084)","(2016, 2084, 2016, 2016)",356
2900,362,0.5792,0.1726928157173097,7.928831987380981,1.7584592247009276,2049.69,2050.31,4100.0,0,4096,3408,"{0: 2065, 1: 2031}",0.4029737412929535,0.9049185514450073,0.6870774557028511,"(2066, 2034, 2034, 2034)","(2034, 2066, 2066, 2066)",362
2950,368,0.5888,0.14928874406963588,7.931297664642334,1.7355483150482178,2050.12,2049.88,4100.0,0,4096,3608,"{0: 2069, 1: 2027}",0.39438003301620483,0.9175822734832764,0.47499077599673817,"(2030, 2030, 2030, 2070)","(2070, 2070, 2070, 2030)",368
3000,374,0.5984,0.25413463680073617,8.000431518554688,1.8542209649086,2052.01,2047.99,4100.0,0,4096,3808,"{0: 2082, 1: 2014}",0.29548388719558716,0.9559071063995361,0.7271865008466802,"(2017, 2017, 2017, 2083)","(2083, 2083, 2083, 2017)",374
3050,381,0.6096,0.13323406543582678,7.911297054290771,1.7154934859275819,2057.41,2042.59,4100.0,0,4096,4008,"{0: 2112, 1: 1984}",0.4482235014438629,0.8806886672973633,0.7147440279304195,"(1985, 2115, 2115, 2115)","(2115, 1985, 1985, 1985)",381
3100,387,0.6192,0.1385343845002353,7.904925556182861,1.719519522190094,2045.64,2054.36,4100.0,0,4096,112,"{0: 2100, 1: 1996}",0.2892748713493347,0.9580702781677246,0.011902922885109093,"(1997, 2103, 2103, 2103)","(2103, 1997, 1997, 1997)",387
3150,393,0.6288,0.13170689018443227,7.892101402282715,1.710127193927765,2045.02,2054.98,4100.0,0,4096,312,"{0: 2092, 1: 2004}",0.2781195640563965,0.9598351120948792,0.7447471840362895,"(2007, 2093, 2007, 2007)","(2093, 2007, 2093, 2093)",393
3200,399,0.6384,0.12528441922739147,7.883071594238281,1.7018987584114074,2047.18,2052.82,4100.0,0,4096,512,"{0: 2066, 1: 2030}",0.26467135548591614,0.9647508859634399,0.7440784607867991,"(2067, 2033, 2033, 2033)","(2033, 2067, 2067, 2067)",399
3250,406,0.6496,0.12500632427632807,7.870244855880737,1.6990553307533265,2048.93,2051.07,4100.0,0,4096,712,"{0: 2060, 1: 2036}",0.2760007381439209,0.9612547159194946,0.4713750085765195,"(2038, 2062, 2062, 2038)","(2062, 2038, 2038, 2062)",406
3300,412,0.6592,0.0646649004239589,7.844957008361816,1.6336563372611999,2050.88,2049.12,4100.0,0,4096,912,"{0: 2064, 1: 2032}",0.22036677598953247,0.9755983948707581,0.7579850931851029,"(2066, 2034, 2066, 2034)","(2034, 2066, 2034, 2066)",412
3350,418,0.6688,0.18929765063570814,7.922832794189453,1.7738642239570617,2050.35,2049.65,4100.0,0,4096,1112,"{0: 2066, 1: 2030}",0.19614431262016296,0.9807510375976562,0.7653482614044064,"(2034, 2034, 2034, 2034)","(2066, 2066, 2066, 2066)",418
3400,424,0.6784,0.12228681080741807,7.888128128051758,1.6999124574661255,2051.65,2048.35,4100.0,0,4096,1312,"{0: 2071, 1: 2025}",0.22563140094280243,0.9732149839401245,0.7571222208237668,"(2073, 2027, 2027, 2073)","(2027, 2073, 2073, 2027)",424
3450,431,0.6896,0.07596760638058185,7.850241327285767,1.64601589679718,2053.45,2046.55,4100.0,0,4096,1512,"{0: 2094, 1: 2002}",0.23094841837882996,0.9707226753234863,0.7641981877038287,"(2004, 2096, 2096, 2004)","(2096, 2004, 2004, 2096)",431
3500,437,0.6992,0.14321831872686744,7.893065385818481,1.7218314218521118,2058.05,2041.95,4100.0,0,4096,1712,"{0: 2102, 1: 1994}",0.18877655267715454,0.9811584949493408,0.7624448428929309,"(2106, 2106, 2106, 2106)","(1994, 1994, 1994, 1994)",437
3550,443,0.7088,0.13711932117119432,7.879702730178833,1.7130598950386047,2052.99,2047.01,4100.0,0,4096,1912,"{0: 2106, 1: 1990}",0.18548572063446045,0.9826948642730713,0.7654832812040718,"(2109, 2109, 1991, 2109)","(1991, 1991, 2109, 1991)",443
3600,449,0.7184,0.1612314378656447,7.914429693222046,1.7441174125671386,2047.72,2052.28,4100.0,0,4096,2112,"{0: 2071, 1: 2025}",0.19215843081474304,0.9813079833984375,-0.18422259253634865,"(2027, 2073, 2027, 2073)","(2073, 2027, 2073, 2027)",449
3650,456,0.7296,0.1634545540995896,7.891636924743652,1.7417819595336914,2049.02,2050.98,4100.0,0,4096,2312,"{0: 2061, 1: 2035}",0.1805354207754135,0.981451690196991,0.766188050932531,"(2038, 2038, 2062, 2038)","(2062, 2062, 2038, 2062)",456
3700,462,0.7392,0.17219711430370807,7.891130104064941,1.7504231548309326,2050.22,2049.78,4100.0,0,4096,2512,"{0: 2053, 1: 2043}",0.19172728061676025,0.9810150861740112,0.7723683561018699,"(2056, 2056, 2044, 2056)","(2044, 2044, 2056, 2044)",462
3750,468,0.7488,0.12466996884904802,7.8698054122924805,1.6986310768127442,2050.0,2050.0,4100.0,0,4096,2712,"{0: 2043, 1: 2053}",0.15586884319782257,0.9872441291809082,0.776587160201734,"(2045, 2055, 2055, 2045)","(2055, 2045, 2045, 2055)",468
3800,474,0.7584,0.12775499011389913,7.88113712310791,1.7039824318885803,2050.48,2049.52,4100.0,0,4096,2912,"{0: 2050, 1: 2046}",0.15709106624126434,0.9874162673950195,0.7777174402916631,"(2052, 2048, 2052, 2048)","(2048, 2052, 2048, 2052)",474
3850,481,0.7696,0.2175781381712295,7.933605537414551,1.8042992663383484,2050.54,2049.46,4100.0,0,4096,3112,"{0: 2059, 1: 2037}",0.1693393886089325,0.9838120937347412,0.7659661645138875,"(2060, 2040, 2040, 2040)","(2040, 2060, 2060, 2060)",481
3900,487,0.7792,0.1654211714817211,7.894353408813476,1.7442918705940247,2051.31,2048.69,4100.0,0,4096,3312,"{0: 2064, 1: 2032}",0.14790143072605133,0.988561749458313,-0.19124686977815164,"(2066, 2034, 2066, 2034)","(2034, 2066, 2034, 2066)",487
3950,493,0.7888,0.0973863927461207,7.850995435714721,1.6675855016708374,2049.37,2050.63,4100.0,0,4096,3512,"{0: 2053, 1: 2043}",0.2181897610425949,0.9745116829872131,0.3169794374873873,"(2055, 2045, 2055, 2045)","(2045, 2055, 2045, 2055)",493
4000,499,0.7984,0.168257442843169,7.8885086822509765,1.7459592056274413,2050.39,2049.61,4100.0,0,4096,3712,"{0: 2039, 1: 2057}",0.17979538440704346,0.9820939898490906,0.5588249169733658,"(2041, 2059, 2059, 2041)","(2059, 2041, 2041, 2059)",499
4050,506,0.8096,0.1807388213649392,7.906233043670654,1.761985456943512,2050.42,2049.58,4100.0,0,4096,3912,"{0: 2025, 1: 2071}",0.10456213355064392,0.99431973695755,0.7762990684576253,"(2074, 2074, 2074, 2026)","(2026, 2026, 2026, 2074)",506
4100,512,0.8192,0.17991173382848502,7.9128080749511716,1.7624733519554139,2049.44,2050.56,4100.0,0,4096,16,"{0: 2028, 1: 2068}",0.11064910143613815,0.993324339389801,0.7345601708003718,"(2071, 2071, 2029, 2071)","(2029, 2029, 2071, 2029)",512
4150,518,0.8288,0.11650890436023474,7.858723554611206,1.6882536458969115,2051.35,2048.65,4100.0,0,4096,216,"{0: 2033, 1: 2063}",0.1411939412355423,0.9887160062789917,0.22102192780233285,"(2066, 2034, 2066, 2066)","(2034, 2066, 2034, 2034)",518
4200,524,0.8384,0.15830724653787911,7.897012510299683,1.7377097535133361,2049.56,2050.44,4100.0,0,4096,416,"{0: 2046, 1: 2050}",0.13218159973621368,0.9906152486801147,0.4868087337281869,"(2053, 2053, 2053, 2047)","(2047, 2047, 2047, 2053)",524
4250,531,0.8496,0.13587454006075858,7.880920257568359,1.7120586156845092,2050.32,2049.68,4100.0,0,4096,616,"{0: 2056, 1: 2040}",0.1272869110107422,0.9918713569641113,0.7782717120280114,"(2060, 2060, 2060, 2060)","(2040, 2040, 2040, 2040)",531
4300,537,0.8592,0.07625953812152148,7.834260368347168,1.6431116366386413,2049.61,2050.39,4100.0,0,4096,816,"{0: 2065, 1: 2031}",0.08517917990684509,0.996092677116394,0.7762384567583255,"(2034, 2066, 2034, 2034)","(2066, 2034, 2066, 2066)",537
4350,543,0.8688,0.1266169344447553,7.8668787384033205,1.6999926948547364,2051.15,2048.85,4100.0,0,4096,1016,"{0: 2068, 1: 2028}",0.06278422474861145,0.9980242848396301,0.7744240098409197,"(2032, 2032, 2032, 2032)","(2068, 2068, 2068, 2068)",543
4400,549,0.8784,0.18361909166444093,7.883779973983764,1.7603751182556153,2049.71,2050.29,4100.0,0,4096,1216,"{0: 2059, 1: 2037}",0.0811062902212143,0.9965550899505615,0.7760851417859246,"(2060, 2040, 2040, 2040)","(2040, 2060, 2060, 2060)",549
4450,556,0.8896,0.1786887521110475,7.910405063629151,1.7607697868347167,2050.48,2049.52,4100.0,0,4096,1416,"{0: 2053, 1: 2043}",0.15973462164402008,0.9789462685585022,0.6669653098496301,"(2044, 2056, 2056, 2056)","(2056, 2044, 2044, 2044)",556
4500,562,0.8992,0.18480664209462702,7.92915415763855,1.770637502670288,2049.92,2050.08,4100.0,0,4096,1616,"{0: 2026, 1: 2070}",0.07009793817996979,0.9974507093429565,0.7665470020941887,"(2073, 2027, 2073, 2073)","(2027, 2073, 2027, 2027)",562
4550,568,0.9088,0.12681839375756682,7.871219377517701,1.7010622811317444,2050.93,2049.07,4100.0,0,4096,1816,"{0: 2017, 1: 2079}",0.06230562925338745,0.998046875,0.762492867419457,"(2083, 2083, 2083, 2083)","(2017, 2017, 2017, 2017)",568
4600,574,0.9184,0.11066826928406953,7.862978935241699,1.6832640767097473,2050.41,2049.59,4100.0,0,4096,2016,"{0: 2018, 1: 2078}",0.14912085235118866,0.9862607717514038,0.1734194106841237,"(2021, 2021, 2021, 2079)","(2079, 2079, 2079, 2021)",574
4650,581,0.9296,0.14849131192080678,7.90416464805603,1.7293242526054382,2049.63,2050.37,4100.0,0,4096,2216,"{0: 2036, 1: 2060}",0.06409922987222672,0.9978879690170288,0.7716201305626372,"(2038, 2038, 2062, 2062)","(2062, 2062, 2038, 2038)",581
4700,587,0.9392,0.05399037096649408,7.8054798984527585,1.6150863671302795,2049.79,2050.21,4100.0,0,4096,2416,"{0: 2053, 1: 2043}",0.06140560284256935,0.9981065988540649,0.7798957196310525,"(2054, 2046, 2046, 2046)","(2046, 2054, 2054, 2054)",587
4750,593,0.9488,0.11542224648408592,7.872369766235352,1.6898962259292603,2050.06,2049.94,4100.0,0,4096,2616,"{0: 2041, 1: 2055}",0.060010869055986404,0.9981873631477356,0.7726621918978525,"(2056, 2044, 2044, 2044)","(2044, 2056, 2056, 2056)",593
4800,599,0.9584,0.21821113844402135,7.928780269622803,1.8039672183990478,2050.26,2049.74,4100.0,0,4096,2816,"{0: 2038, 1: 2058}",0.16064441204071045,0.9750630855560303,-0.06742055075536293,"(2060, 2060, 2040, 2040)","(2040, 2040, 2060, 2060)",599
4850,606,0.9696,0.12109100991860032,7.876204099655151,1.6963318538665773,2052.67,2047.33,4100.0,0,4096,3016,"{0: 2029, 1: 2067}",0.056468814611434937,0.9983555674552917,0.7431303852922323,"(2071, 2071, 2071, 2071)","(2029, 2029, 2029, 2029)",606
4900,612,0.9792,0.1424348821025342,7.874277896881104,1.7172904682159424,2047.74,2052.26,4100.0,0,4096,3216,"{0: 2035, 1: 2061}",0.06113281473517418,0.998055100440979,0.781879009717203,"(2039, 2039, 2039, 2039)","(2061, 2061, 2061, 2061)",612
