micro_step,global_step,epoch,ce_loss,contrastive_loss,total_loss,pos_per_query,neg_per_query,n_candidates,queries_skipped_no_pos,queue_valid,queue_ptr,queue_labels,view_gap,pos_counts,neg_counts,ema_calls
50,6,0.0096,0.7015114462375641,1.3692215013504028,0.9753557515144348,2.44,1.56,4.0,0,0,0,{},0.05117444694042206,"(3, 1, 3, 3)","(1, 3, 1, 1)",0
100,12,0.0192,0.6964855432510376,1.3694168496131898,0.9703689253330231,2.49,1.51,4.0,0,0,0,{},0.04915089160203934,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
150,18,0.0288,0.6843484771251679,1.3537038946151734,0.9550892698764801,2.48,1.52,4.0,0,0,0,{},0.07372376322746277,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
200,24,0.0384,0.6858515858650207,1.33674724817276,0.9532010436058045,2.64,1.36,4.0,0,0,0,{},0.10740643739700317,"(3, 3, 1, 3)","(1, 1, 3, 1)",0
250,31,0.0496,0.724605666399002,1.3123792624473571,0.9870815300941467,2.6,1.4,4.0,0,0,0,{},0.1858428418636322,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
300,37,0.0592,0.7061248767375946,1.3061832189559937,0.9673615193367004,2.46,1.54,4.0,0,0,0,{},0.15240374207496643,"(1, 3, 3, 3)","(3, 1, 1, 1)",0
350,43,0.0688,0.6899372529983521,1.3164714407920837,0.9532315468788147,2.47,1.53,4.0,0,0,0,{},0.13722069561481476,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
400,49,0.0784,0.7052410471439362,1.3207386541366577,0.9693887758255005,2.64,1.36,4.0,0,0,0,{},0.40335607528686523,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
450,56,0.0896,0.6982385671138763,1.2942697501182556,0.9570925199985504,2.38,1.62,4.0,0,0,0,{},0.14468064904212952,"(2, 2, 2, 2)","(2, 2, 2, 2)",0
500,62,0.0992,0.7072926104068756,1.290846619606018,0.9654619419574737,2.56,1.44,4.0,0,0,0,{},0.14587724208831787,"(4, 4, 4, 4)","(0, 0, 0, 0)",0
550,68,0.1088,0.6872140312194824,1.2912561988830566,0.9454652810096741,2.57,1.43,4.0,0,0,0,{},0.1417650282382965,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
600,74,0.1184,0.6944272089004516,1.2759235000610352,0.9496119165420532,2.5,1.5,4.0,0,0,0,{},0.1732587218284607,"(3, 3, 3, 1)","(1, 1, 1, 3)",0
